"GEO_ID","NAME","H1_001N","H1_002N","H1_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"1000000US210670003003008","Block 3008, Block Group 3, Census Tract 3, Fayette County, Kentucky","40","36","4",
"1000000US210670003003009","Block 3009, Block Group 3, Census Tract 3, Fayette County, Kentucky","36","15","21",
"1000000US210670003003010","Block 3010, Block Group 3, Census Tract 3, Fayette County, Kentucky","46","37","9",
"1000000US210670003003011","Block 3011, Block Group 3, Census Tract 3, Fayette County, Kentucky","39","39","0",
"1000000US210670003004000","Block 4000, Block Group 4, Census Tract 3, Fayette County, Kentucky","40","40","0",
"1000000US210670003004001","Block 4001, Block Group 4, Census Tract 3, Fayette County, Kentucky","21","20","1",
"1000000US210670003004002","Block 4002, Block Group 4, Census Tract 3, Fayette County, Kentucky","54","48","6",
"1000000US210670003004003","Block 4003, Block Group 4, Census Tract 3, Fayette County, Kentucky","72","53","19",
"1000000US210670003004004","Block 4004, Block Group 4, Census Tract 3, Fayette County, Kentucky","85","60","25",
"1000000US210670003004005","Block 4005, Block Group 4, Census Tract 3, Fayette County, Kentucky","7","7","0",
"1000000US210670003004006","Block 4006, Block Group 4, Census Tract 3, Fayette County, Kentucky","22","22","0",
"1000000US210670003004007","Block 4007, Block Group 4, Census Tract 3, Fayette County, Kentucky","21","21","0",
"1000000US210670003004008","Block 4008, Block Group 4, Census Tract 3, Fayette County, Kentucky","31","31","0",
"1000000US210670003004009","Block 4009, Block Group 4, Census Tract 3, Fayette County, Kentucky","25","25","0",
"1000000US210670003004010","Block 4010, Block Group 4, Census Tract 3, Fayette County, Kentucky","10","0","10",
"1000000US210670003004011","Block 4011, Block Group 4, Census Tract 3, Fayette County, Kentucky","6","0","6",
"1000000US210670004001000","Block 1000, Block Group 1, Census Tract 4, Fayette County, Kentucky","9","9","0",
"1000000US210670004001001","Block 1001, Block Group 1, Census Tract 4, Fayette County, Kentucky","12","11","1",
"1000000US210670004001002","Block 1002, Block Group 1, Census Tract 4, Fayette County, Kentucky","27","16","11",
"1000000US210670004001003","Block 1003, Block Group 1, Census Tract 4, Fayette County, Kentucky","15","6","9",
"1000000US210670004001004","Block 1004, Block Group 1, Census Tract 4, Fayette County, Kentucky","26","26","0",
"1000000US210670004001005","Block 1005, Block Group 1, Census Tract 4, Fayette County, Kentucky","21","15","6",
"1000000US210670004001006","Block 1006, Block Group 1, Census Tract 4, Fayette County, Kentucky","6","6","0",
"1000000US210670004001007","Block 1007, Block Group 1, Census Tract 4, Fayette County, Kentucky","39","38","1",
"1000000US210670004001008","Block 1008, Block Group 1, Census Tract 4, Fayette County, Kentucky","18","18","0",
"1000000US210670004001009","Block 1009, Block Group 1, Census Tract 4, Fayette County, Kentucky","20","20","0",
"1000000US210670004001010","Block 1010, Block Group 1, Census Tract 4, Fayette County, Kentucky","5","5","0",
"1000000US210670004001011","Block 1011, Block Group 1, Census Tract 4, Fayette County, Kentucky","21","21","0",
"1000000US210670004001012","Block 1012, Block Group 1, Census Tract 4, Fayette County, Kentucky","18","18","0",
"1000000US210670004001013","Block 1013, Block Group 1, Census Tract 4, Fayette County, Kentucky","20","20","0",
"1000000US210670004001014","Block 1014, Block Group 1, Census Tract 4, Fayette County, Kentucky","17","10","7",
"1000000US210670004001015","Block 1015, Block Group 1, Census Tract 4, Fayette County, Kentucky","1","0","1",
"1000000US210670004002000","Block 2000, Block Group 2, Census Tract 4, Fayette County, Kentucky","16","15","1",
"1000000US210670004002001","Block 2001, Block Group 2, Census Tract 4, Fayette County, Kentucky","16","16","0",
"1000000US210670004002002","Block 2002, Block Group 2, Census Tract 4, Fayette County, Kentucky","13","5","8",
"1000000US210670004002003","Block 2003, Block Group 2, Census Tract 4, Fayette County, Kentucky","95","92","3",
"1000000US210670004002004","Block 2004, Block Group 2, Census Tract 4, Fayette County, Kentucky","4","4","0",
"1000000US210670004002005","Block 2005, Block Group 2, Census Tract 4, Fayette County, Kentucky","26","26","0",
"1000000US210670004002006","Block 2006, Block Group 2, Census Tract 4, Fayette County, Kentucky","25","21","4",
"1000000US210670004002007","Block 2007, Block Group 2, Census Tract 4, Fayette County, Kentucky","35","35","0",
"1000000US210670004002008","Block 2008, Block Group 2, Census Tract 4, Fayette County, Kentucky","8","6","2",
"1000000US210670004002009","Block 2009, Block Group 2, Census Tract 4, Fayette County, Kentucky","12","12","0",
